field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/bit_mix.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['clang++ -O3 -emit-llvm -S /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/bit_mix.cpp -o /tmp/csperf-gcc-vs-clang-cases/bit_mix.ll', 'clang++ -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/bit_mix.cpp -o /tmp/csperf-gcc-vs-clang-cases/bit_mix', '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /tmp/csperf-gcc-vs-clang-cases/bit_mix', 'perf stat -x, -e cache-references,cache-misses /tmp/csperf-gcc-vs-clang-cases/bit_mix', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /tmp/csperf-gcc-vs-clang-cases/bit_mix']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'tools': {'lscpu': True, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor'}"
metrics,"{'execution_time_ms': 351.7554, 'l1_cache_misses': 69515, 'l2_cache_misses': 40490, 'branch_mispredictions': 9046, 'instruction_count': 2020072645, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 351.646, 'max': 351.887, 'mean': 351.7554, 'median': 351.731, 'stdev': 0.106298}, 'cpu_cycles': 1950548854, 'ref_cycles': 1338879154, 'frontend_stall_cycles': 2577703, 'branch_instructions': 68552863, 'cache_references': 313853, 'cache_misses': 42519, 'l1_icache_misses': 48526, 'dtlb_load_misses': 924, 'itlb_load_misses': 246, 'amd_l2_ic_dc_miss_in_l2': 40490}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/clang-bit_mix.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/clang-bit_mix.csv'}"
execution,"{'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.7554, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 351.646, 'max': 351.887, 'mean': 351.7554, 'median': 351.731, 'stdev': 0.106298}, 'mode': 'executed', 'trial_results': [{'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.646, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.669, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.844, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.731, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/bit_mix', 'cpu_affinity': '0', 'stdout': '5899886349267917514', 'stderr': '', 'returncode': 0, 'wall_time_ms': 351.887, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}], 'ir': '/tmp/csperf-gcc-vs-clang-cases/bit_mix.ll'}"
status,executed
timestamp_utc,2026-03-22T14:53:53.871813+00:00
