kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,314753.0,219291.0,-95462.0,-30.329179,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,37876022.0,13386464.0,-24489558.0,-64.657154,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,45662.0,31770.0,-13892.0,-30.423547,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.1206,0.2373,0.1167,96.766169,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,5.1569,3.2389,-1.918,-37.192887,%,lower_is_better,clang++
metric,cache_misses,g++,clang++,288068.0,179697.0,-108371.0,-37.619937,misses,lower_is_better,clang++
metric,cache_references,g++,clang++,5586031.0,5548071.0,-37960.0,-0.679552,references,lower_is_better,clang++
metric,cpu_cycles,g++,clang++,99175031.0,93816242.0,-5358789.0,-5.403365,cycles,lower_is_better,clang++
metric,dtlb_load_misses,g++,clang++,24763.0,27256.0,2493.0,10.067439,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,17.5782,17.0374,-0.5408,-3.076538,ms,lower_is_better,clang++
metric,frontend_stall_cycles,g++,clang++,4447969.0,3907383.0,-540586.0,-12.153547,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,4.485,4.1649,-0.3201,-7.137124,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,230299850.0,161109712.0,-69190138.0,-30.043501,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,2.3222,1.7173,-0.6049,-26.048575,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,286.0,303.0,17.0,5.944056,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,2729698.0,2717581.0,-12117.0,-0.443895,misses,lower_is_better,clang++
metric,l1_icache_misses,g++,clang++,81483.0,76348.0,-5135.0,-6.301928,misses,lower_is_better,clang++
metric,l2_cache_misses,g++,clang++,314753.0,219291.0,-95462.0,-30.329179,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,11.5307,8.0693,-3.4614,-30.018993,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,68435274.0,64269474.0,-4165800.0,-6.087212,cycles,lower_is_better,clang++
